nm	n	k
832.937134	1.886025	0.030578
834.503052	1.885127	0.030701
836.06897	1.884229	0.030824
837.634583	1.88333	0.030948
839.200195	1.88243	0.031072
840	1.88197	0.031136
840.765625	1.88153	0.031198
842.330872	1.880629	0.031324
843.896118	1.879728	0.031451
845.461121	1.878825	0.031578
847.026001	1.877922	0.031707
848.590698	1.877019	0.031836
850	1.876204	0.031953
850.155396	1.876114	0.031966
851.719849	1.875209	0.032096
853.28418	1.874303	0.032227
854.84845	1.873397	0.032359
856.412476	1.87249	0.032492
857.97644	1.871581	0.032626
859.540222	1.870673	0.03276
860	1.870405	0.0328
861.103821	1.869763	0.032895
862.667358	1.868853	0.033031
864.230774	1.867942	0.033167
865.793945	1.86703	0.033304
867.357056	1.866117	0.033442
868.919922	1.865204	0.033581
870	1.864572	0.033677
870.482727	1.864289	0.03372
872.04541	1.863374	0.033861
873.60791	1.862458	0.034002
875.170227	1.861541	0.034143
876.732422	1.860624	0.034286
878.294556	1.859705	0.034429
879.856445	1.858786	0.034573
880	1.858702	0.034586
881.418152	1.857866	0.034718
882.979797	1.856945	0.034863
884.541199	1.856023	0.035009
886.102539	1.8551	0.035156
887.663696	1.854177	0.035304
889.224731	1.853252	0.035452
890	1.852793	0.035526
890.785522	1.852327	0.035602
892.346313	1.8514	0.035752
893.90686	1.850473	0.035902
895.467163	1.849545	0.036054
897.027466	1.848616	0.036206
898.587524	1.847686	0.036359
900	1.846843	0.036499
900.147461	1.846755	0.036513
901.707153	1.845824	0.036668
903.266785	1.844891	0.036823
904.826294	1.843957	0.036979
906.385559	1.843022	0.037136
907.944641	1.842087	0.037294
909.503601	1.84115	0.037453
910	1.840852	0.037503
911.062378	1.840213	0.037612
912.620972	1.839274	0.037772
914.179504	1.838335	0.037933
915.737793	1.837394	0.038094
917.296021	1.836453	0.038257
918.854004	1.83551	0.03842
920	1.834816	0.038541
920.411804	1.834567	0.038584
921.969421	1.833622	0.038749
923.526978	1.832677	0.038914
925.08429	1.83173	0.039081
926.641418	1.830783	0.039248
928.198425	1.829834	0.039416
929.755188	1.828885	0.039584
930	1.828735	0.039611
931.31189	1.827934	0.039754
932.868347	1.826982	0.039924
934.424622	1.82603	0.040095
935.980774	1.825076	0.040267
937.536743	1.824121	0.04044
939.09259	1.823165	0.040613
940	1.822607	0.040715
940.648132	1.822208	0.040788
942.203613	1.82125	0.040963
943.758911	1.820291	0.041139
945.313965	1.819331	0.041316
946.868835	1.81837	0.041493
948.423645	1.817407	0.041672
949.97821	1.816444	0.041851
950	1.81643	0.041853
951.532593	1.815479	0.042031
953.086792	1.814514	0.042212
954.640808	1.813547	0.042393
956.194641	1.812579	0.042576
957.748352	1.81161	0.042759
959.30188	1.81064	0.042943
960	1.810204	0.043026
960.855164	1.809669	0.043128
962.408325	1.808697	0.043314
963.961243	1.807723	0.043501
965.513977	1.806749	0.043688
967.066528	1.805773	0.043876
968.618958	1.804796	0.044066
970	1.803926	0.044235
970.171082	1.803818	0.044256
971.723145	1.802839	0.044446
973.275024	1.801858	0.044638
974.82666	1.800877	0.044831
976.378113	1.799894	0.045024
977.929382	1.79891	0.045218
979.480469	1.797925	0.045413
980	1.797595	0.045479
981.031372	1.796939	0.045609
982.582031	1.795951	0.045806
984.132507	1.794963	0.046003
985.682922	1.793973	0.046202
987.233032	1.792982	0.046401
988.782898	1.79199	0.046601
990	1.79121	0.046759
990.332703	1.790996	0.046803
991.882202	1.790002	0.047004
993.431519	1.789006	0.047207
994.980774	1.788009	0.047411
996.529663	1.787011	0.047615
998.07843	1.786011	0.047821
1000	1.78477	0.048077
1010	1.778273	0.049432
1012.665833	1.776531	0.0498
1016.039734	1.774321	0.050269
1019.414063	1.772103	0.050743
1020	1.771718	0.050826
1022.78894	1.769879	0.051222
1026.164307	1.767648	0.051705
1029.540161	1.765409	0.052192
1030	1.765104	0.052259
1032.916504	1.763164	0.052684
1036.293335	1.760911	0.053181
1039.670654	1.758651	0.053683
1040	1.75843	0.053732
1043.048462	1.756383	0.054189
1046.426758	1.754109	0.0547
1049.805542	1.751826	0.055215
1050	1.751695	0.055245
1053.184814	1.749537	0.055736
1056.564697	1.747239	0.056261
1059.944946	1.744935	0.056791
1060	1.744897	0.0568
1063.325684	1.742622	0.057327
1066.706909	1.740302	0.057867
1070	1.738036	0.058397
1070.088623	1.737975	0.058412
1073.470947	1.735639	0.058962
1076.853638	1.733296	0.059517
1080	1.73111	0.060037
1080.236816	1.730945	0.060077
1083.620483	1.728586	0.060642
1087.004639	1.72622	0.061212
1090	1.724118	0.061722
1090.389404	1.723845	0.061788
1093.774536	1.721462	0.062369
1097.160156	1.719071	0.062955
1100	1.71706	0.063451
1100.546265	1.716673	0.063546
1103.932861	1.714266	0.064143
